metric,P0_median,P0_iqr,P0_mean,P0_std,P1_median,P1_iqr,P1_mean,P1_std,P2_median,P2_iqr,P2_mean,P2_std,P3_median,P3_iqr,P3_mean,P3_std
acs,0.89,0.55,0.78,0.54,2.0,0.67,2.06,0.58,5.02,1.21,5.42,1.13,6.0,0.97,6.26,1.07
avg_cc,2.67,0.62,3.08,0.75,2.0,0.48,2.28,0.51,1.0,0.56,1.33,0.52,1.0,0.55,1.35,0.54
mi,59.67,3.13,58.12,5.3,52.43,4.2,51.18,5.11,50.0,4.2,47.02,5.69,50.0,2.78,48.37,3.62
code_smells,12.0,2.0,12.52,2.83,27.0,1.0,27.54,1.7,0.0,1.0,5.06,14.13,0.0,1.0,5.68,16.15
loc,42.0,11.0,43.93,10.53,69.0,21.0,72.64,15.65,137.0,39.0,137.97,23.65,194.5,57.0,193.26,37.03
